COUNTY_NAME,PARTY_NAME,Adult Film Condom Requirements,Ban on Single-use Plastic Bags,Carryout Bag Charges,Cigarette Tax,Corporate Political Spending Advisory Question,Criminal Sentences & Juvenile Crime Proceedings,Death Penalty Procedure Time Limits,English Proficiency. Multilingual Education.,Firearms and Ammunition Sales,K-12 and Community College Facilities,Legislative Procedure Requirements,Marijuana Legalization,Medi-Cal Hospital Fee Program,Repeal of Death Penalty,State Prescription Drug Purchase Standards,Tax Extension for Education and Healthcare,Voter Approval of Revenue Bonds
San Luis Obispo,Democratic,0.38327626909306944,0.6018437490570023,0.4751837109614207,0.5847153941834982,0.5254428160041185,0.6185773297457081,0.5400906257029919,0.7070568927789934,0.5205295630205483,0.4949151257956957,0.6379695082939313,0.5771344977391613,0.658309660740133,0.4273235924647641,0.410320809316184,0.5992360313196722,0.5071772221784052
San Mateo,Democratic,0.40286872786027333,0.677490370578233,0.5321626302774246,0.7449389824793474,0.6479517048472188,0.7305141707551852,0.44585485300947103,0.7861065204079617,0.758986089523642,0.5872296567201396,0.6049723184108486,0.6296479840902581,0.7392532863531643,0.5747008205589121,0.5102506935343873,0.6586821759652507,0.42054131713365084
Santa Barbara,Democratic,0.44512074810611724,0.5989802178467665,0.4812114711394524,0.6653831475458393,0.5692183514276208,0.6967818248562222,0.47379320150088705,0.7379894635235559,0.6383796587117261,0.5528576003726672,0.6606823125082615,0.6151310367562222,0.6994637638894675,0.517513694015642,0.5022564454807825,0.629350551948813,0.5109935666604128
Santa Clara,Democratic,0.4426041206350477,0.6583288857960895,0.5203630826719237,0.7353957856522768,0.6156142445183209,0.7040015131587629,0.4776259980136866,0.7528172376745852,0.7392697083675314,0.5469593732492894,0.674094669473352,0.5829057720415795,0.7159390748312257,0.5399684681160903,0.503040588752507,0.6660848561782103,0.4682674931342298
Santa Cruz,Democratic,0.36004552840163967,0.7468268809931167,0.48631971219771886,0.721547359676484,0.6808479978299936,0.7504979482133858,0.3843566813572376,0.7964382308328184,0.7172594747564427,0.5701637180250809,0.585103193243716,0.6989107538585625,0.7395702782624366,0.6364514726485129,0.5391111853646312,0.7348516472930448,0.4032651153473776
Shasta,Republican,0.3913465760168172,0.35198703387018554,0.30706170926930026,0.4562479616667921,0.40504622758404707,0.41707495852783455,0.5624714512185292,0.6006410007883276,0.2709362107267534,0.38061416875435833,0.6279189221225651,0.4853820264228663,0.5461391143478771,0.2778570052033147,0.3128333203257109,0.4997740390202332,0.5713458069443165
Sierra,Republican,0.3151728178090217,0.387382401770891,0.34285714285714286,0.43882544861337686,0.46973224679860304,0.569351230425056,0.49441504997060554,0.6402918069584737,0.3002183406113537,0.4025683975432719,0.6002265005662514,0.5100271002710027,0.6026003391746749,0.31866295264623956,0.3768613974799542,0.5200222469410456,0.5398179749715586
Siskiyou,Republican,0.3706454650067999,0.4034206731964401,0.3127232479750465,0.47697256201569277,0.4957833534126028,0.5579489229846569,0.5098288560377259,0.6886113886113886,0.3158179581795818,0.4022664316293125,0.6407757028524523,0.517864077669903,0.5964378139747298,0.33799404371308867,0.44685878666461193,0.5536822093255953,0.5892756446403855
Solano,Democratic,0.4722806304274634,0.4752458555774094,0.46437170641265735,0.620137230049237,0.5239460854602811,0.6533354017995656,0.5304723656032962,0.7508850462828056,0.5952825323543135,0.543065355841526,0.6031624194043599,0.5838924138935058,0.6727211106369091,0.4295146810832259,0.4650669145214874,0.6502121384429851,0.5208492487904253
Sonoma,Democratic,0.37448525512439185,0.6748542770460918,0.4559639080582749,0.6780525152691016,0.6380102148297606,0.6970512975094785,0.4264902463849008,0.7777307837855887,0.6476407442536632,0.5604246322702533,0.5955115357725472,0.5907214306446652,0.7160779886467613,0.5497292471410562,0.519944068295555,0.6722870399567548,0.39133777312597834
Stanislaus,Democratic,0.47456001359875183,0.3977714755981315,0.4153668226679211,0.5512460715983811,0.4304876379608546,0.5484397356005155,0.5835495398472684,0.6731056209583817,0.47454390049809897,0.5828816634847831,0.6749051150385875,0.5021360938835059,0.6654605282766926,0.33149949202991974,0.3935867366121784,0.6024181318420928,0.5858096736759604
Sutter,Republican,0.4179467485919099,0.34408200143315576,0.34588419405320814,0.483733871460894,0.40847116305173153,0.5080357701206929,0.5809730359628394,0.6338956576069978,0.3726873337045975,0.47180591982015735,0.6309535279570928,0.45590073473369713,0.5908347486947223,0.2942259675405743,0.3346422064459383,0.5272966867469879,0.5456378416437304
Tehama,Republican,0.3865122856637794,0.3190810465858328,0.31712702398476056,0.4179867571871595,0.393358761498766,0.4249269884899502,0.5420673076923077,0.6060124543697659,0.2649757838388988,0.3761010613156877,0.6123307479952675,0.4852872883860345,0.5455609502340906,0.2668528464017186,0.310123563841318,0.48958960681407554,0.5624045718274222
Trinity,Republican,0.35534934497816595,0.44356540084388185,0.30739230632866515,0.42948607025436925,0.4951633509764556,0.4970080957409363,0.49972288934047665,0.6825199645075422,0.30467651195499296,0.41456087647994344,0.6276249094858798,0.5005213764337852,0.6053144375553587,0.35732142857142857,0.3813911472448058,0.5755855216465579,0.5330795722312851
Tulare,Republican,0.4334713786121848,0.35324513139795843,0.3810770620273143,0.5070381257715295,0.377828246181102,0.44924737393062125,0.5388323213451658,0.6174177480192748,0.4136575094706343,0.508981873684781,0.634087461615302,0.4500004452716602,0.6262188417255073,0.3247678354845133,0.32950673299440586,0.540749128130803,0.5472224524184415
Tuolumne,Republican,0.37570714110027054,0.4086805005544115,0.3578607322325915,0.46688664596273294,0.46097090634694393,0.4940362595419847,0.5724880878392377,0.6199713215964311,0.3564325177584846,0.39029048945483485,0.6268723361071646,0.5228791174642635,0.6070955572500703,0.29218500797448166,0.3690342278643741,0.5303996514437359,0.5391601840915571
Ventura,Democratic,0.4986482605052219,0.4931785564526131,0.45218864677892295,0.6201761684790406,0.49740576108426593,0.6115693092662811,0.5480364300962971,0.7230124044613196,0.5983563776871063,0.5283084812368385,0.6729121444076317,0.5556068639188187,0.6857923578067656,0.41860519187621337,0.4328958409663046,0.5875735690669918,0.5238295874513959
Yolo,Democratic,0.40702190660530935,0.5956648293800706,0.4599886884936844,0.6877539317480265,0.6055673166690774,0.680444893327847,0.463319452083497,0.7722904498028057,0.6413182962341444,0.54185920600345,0.61446494086256,0.6045882625275649,0.7124249646330117,0.5368390747045865,0.4921925954344907,0.6888805550346897,0.457731162730841
Yuba,Republican,0.43731391141037973,0.3308486753480018,0.35110709444193405,0.44096290102539276,0.41383146379901736,0.5141999641641283,0.5663654992548435,0.6523958799820869,0.3347000623941528,0.4495892123593499,0.6513226790511315,0.47289249636066877,0.5858590407565863,0.28235400144196104,0.35877517839400236,0.5277702884874629,0.5640617177188112
